,iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,tests_units,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_100k
17075,USA,United States,2020-04-13,557571,27620,22108,1500,1684.491,83.443,66.791,4.532,2975315.0,132993.0,8.988999999999999,0.402,inconsistent units (COVID Tracking Project),331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
17076,USA,United States,2020-04-14,582594,25023,23649,1541,1760.089,75.598,71.447,4.656000000000001,3125858.0,150543.0,9.443999999999999,0.455,inconsistent units (COVID Tracking Project),331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
17077,USA,United States,2020-04-15,609516,26922,26057,2408,1841.4229999999998,81.335,78.721,7.275,3262564.0,136706.0,9.857000000000001,0.413,inconsistent units (COVID Tracking Project),331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
17078,USA,United States,2020-04-16,639664,30148,30985,4928,1932.504,91.081,93.61,14.888,3424690.0,162126.0,10.345999999999998,0.49,inconsistent units (COVID Tracking Project),331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
17079,USA,United States,2020-04-17,671331,31667,33284,2299,2028.174,95.67,100.555,6.946000000000001,3582859.0,158169.0,10.824000000000002,0.478,inconsistent units (COVID Tracking Project),331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
17080,USA,United States,2020-04-18,702164,30833,37054,3770,2121.324,93.15,111.945,11.39,3725196.0,142337.0,11.254000000000001,0.43,inconsistent units (COVID Tracking Project),331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
17081,USA,United States,2020-04-19,735086,32922,38910,1856,2220.786,99.461,117.552,5.607,3885586.0,160390.0,11.739,0.485,inconsistent units (COVID Tracking Project),331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
17082,USA,United States,2020-04-20,759687,24601,40682,1772,2295.109,74.32300000000001,122.905,5.353,4033318.0,147732.0,12.185,0.446,inconsistent units (COVID Tracking Project),331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
17083,USA,United States,2020-04-21,787752,28065,42539,1857,2379.896,84.788,128.516,5.61,4181428.0,148110.0,12.633,0.447,inconsistent units (COVID Tracking Project),331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
17084,USA,United States,2020-04-22,825041,37289,45063,2524,2492.551,112.655,136.141,7.625,4496319.0,314891.0,13.584000000000001,0.951,inconsistent units (COVID Tracking Project),331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
17085,USA,United States,2020-04-23,842629,17588,46784,1721,2545.687,53.136,141.34,5.199,4688701.0,192382.0,14.165,0.581,inconsistent units (COVID Tracking Project),331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
17086,USA,United States,2020-04-24,869172,26543,49963,3179,2625.8759999999997,80.19,150.944,9.604,4920802.0,232101.0,14.866,0.701,inconsistent units (COVID Tracking Project),331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
17087,USA,United States,2020-04-25,890524,21352,51017,1054,2690.383,64.507,154.129,3.1839999999999997,5197717.0,276915.0,15.703,0.8370000000000001,inconsistent units (COVID Tracking Project),331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
17088,USA,United States,2020-04-26,939053,48529,53189,2172,2836.995,146.612,160.691,6.562,5404137.0,206420.0,16.327,0.624,inconsistent units (COVID Tracking Project),331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
17089,USA,United States,2020-04-27,965910,26857,54876,1687,2918.134,81.138,165.787,5.0969999999999995,5593495.0,189358.0,16.899,0.5720000000000001,inconsistent units (COVID Tracking Project),331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
